cycle,range_bin,doppler_bin,output_hex
1066345000,5,21,00f4fed7
1066355000,5,22,ff8500dd
1066365000,5,23,00a700c9
1066375000,5,24,018cfe74
1066385000,5,25,fe0e011b
1066395000,5,26,000800ad
1066405000,5,27,00f4fdc5
1066415000,5,28,ff2301eb
1066425000,5,29,0063fea2
1066435000,5,30,ff9a0244
1066445000,5,31,fff1fc25
1071525000,6,0,009d01d3
1071535000,6,1,0061ff85
1071545000,6,2,feaefec1
1071555000,6,3,021c009d
1071565000,6,4,fd7a0041
1071575000,6,5,02c1005b
1071585000,6,6,fe280115
1071595000,6,7,0066fc4c
1071605000,6,8,003d03f9
1071615000,6,9,ffdbfe69
1071625000,6,10,0010fe91
1071635000,6,11,ffa101d9
1071645000,6,12,0014fed8
1071655000,6,13,00d700b3
1071665000,6,14,ff94fff2
1071675000,6,15,ff36ffbb
1071685000,6,16,01610035
1071695000,6,17,fff9ff49
1071705000,6,18,fe960195
1071715000,6,19,0020ff51
1071725000,6,20,0082ff25
1071735000,6,21,ffc50081
1071745000,6,22,ff6cff99
1071755000,6,23,00c0008c
1071765000,6,24,00a5ff87
1071775000,6,25,ff7302dd
1071785000,6,26,00a4fbe9
1071795000,6,27,ff33030d
1071805000,6,28,0128fefa
1071815000,6,29,fde3fec5
1071825000,6,30,01980070
1071835000,6,31,fedcff91
1076915000,7,0,ffc902e2
1076925000,7,1,0075ff8a
1076935000,7,2,fff1ff09
1076945000,7,3,ff8900a5
1076955000,7,4,003900b3
1076965000,7,5,024dff76
1076975000,7,6,fe79ffaf
1076985000,7,7,ff79011f
1076995000,7,8,0040ff1c
1077005000,7,9,fe90004a
1077015000,7,10,01defed2
1077025000,7,11,011f018f
1077035000,7,12,fd38fdfc
1077045000,7,13,02660141
1077055000,7,14,fe1b004a
1077065000,7,15,0108ff35
1077075000,7,16,ff49ffca
1077085000,7,17,005f0134
1077095000,7,18,0003ffd7
1077105000,7,19,ff65ff9b
1077115000,7,20,0055ff45
1077125000,7,21,009901dc
1077135000,7,22,feaffdbb
1077145000,7,23,00910197
1077155000,7,24,0092fef8
1077165000,7,25,ff2c01b4
1077175000,7,26,013eff6e
1077185000,7,27,fe6bfed9
1077195000,7,28,019e0234
1077205000,7,29,ff6cfd59
1077215000,7,30,00d50354
